Company Names,Battery Capacity_CC,HorsePower_hp,Total Speed_km/h,Acceleration_0_100_sec,Fuel Types,Seats,Torque_Nm,Cars Prices_USD
Ferrari,3990.0,690.5,330.0,2.5,Plug-in Hybrid,5,800.0,124332.5
Rolls Royce,5603.0,563.0,250.0,5.3,Petrol,5,900.0,124332.5
Ford,1200.0,77.5,165.0,10.5,Petrol,5,120.0,13500.0
Mercedes,3982.0,630.0,250.0,3.2,Petrol,5,900.0,124332.5
Audi,5204.0,602.0,320.0,3.6,Petrol,5,560.0,124332.5
BMW,3994.0,690.5,330.0,2.9,Petrol,5,770.0,124332.5
Aston Martin,3982.0,656.0,314.0,3.6,Petrol,5,685.0,124332.5
Bentley,3996.0,550.0,318.0,4.0,Petrol,5,900.0,124332.5
Lamborghini,5603.0,690.5,330.0,2.9,Petrol,5,690.0,124332.5
Ferrari,3900.0,690.5,330.0,2.9,Petrol,5,770.0,124332.5
Ferrari,5603.0,690.5,330.0,2.9,Petrol,5,718.0,124332.5
Ferrari,3900.0,592.0,320.0,3.2,Petrol,5,760.0,124332.5
Ferrari,3900.0,612.0,320.0,3.4,Petrol,5,760.0,124332.5
Ferrari,5603.0,690.5,330.0,2.9,Petrol,5,719.0,124332.5
Ferrari,3900.0,690.5,330.0,2.9,Petrol,5,770.0,124332.5
Ferrari,3900.0,612.0,320.0,3.2,Petrol,5,760.0,124332.5
Ferrari,3900.0,612.0,320.0,3.4,Petrol,5,760.0,124332.5
Toyota,2998.0,382.0,250.0,4.1,Petrol,5,500.0,53900.0
Toyota,1998.0,205.0,226.0,6.4,Petrol,5,205.0,27000.0
Toyota,2387.0,228.0,226.0,5.6,Petrol,5,250.0,30000.0
Toyota,5603.0,381.0,220.0,6.7,Diesel,5,500.0,85000.0
Toyota,5603.0,381.0,200.0,6.9,Petrol,5,651.0,50000.0
Nissan,3799.0,600.0,315.0,2.9,Petrol,5,637.0,113000.0
Nissan,3696.0,332.0,250.0,4.7,Petrol,5,366.0,30000.0
Nissan,2998.0,400.0,290.0,4.1,Petrol,5,475.0,40000.0
Nissan,2488.0,188.0,225.0,7.3,Petrol,5,380.0,25000.0
Nissan,3498.0,300.0,240.0,5.8,Petrol,5,354.0,35000.0
Nissan,1998.0,149.0,200.0,8.2,Petrol,5,240.0,20000.0
Nissan,2488.0,201.0,200.0,7.5,Petrol,5,270.0,28000.0
Nissan,3498.0,284.0,225.0,6.5,Petrol,5,351.0,35000.0
Nissan,3799.0,310.0,180.0,6.8,Petrol,5,381.0,30000.0
Nissan,5598.0,400.0,200.0,5.9,Petrol,5,560.0,40000.0
Aston Martin,5603.0,690.5,330.0,2.5,Hybrid,5,900.0,124332.5
Aston Martin,3996.0,690.5,330.0,2.5,Hybrid,5,930.0,124332.5
Aston Martin,5204.0,690.5,330.0,3.4,Petrol,5,900.0,124332.5
Aston Martin,5204.0,600.0,322.0,3.9,Petrol,5,700.0,124332.5
Aston Martin,3996.0,503.0,313.0,3.6,Petrol,5,685.0,124332.5
Aston Martin,3996.0,542.0,291.0,4.5,Petrol,5,700.0,124332.5
Aston Martin,5603.0,580.0,328.0,4.2,Petrol,5,630.0,124332.5
Aston Martin,5603.0,580.0,324.0,3.6,Petrol,5,630.0,124332.5
Aston Martin,5603.0,540.0,314.0,4.2,Petrol,5,630.0,124332.5
Aston Martin,5204.0,690.5,320.0,2.8,Petrol,5,821.0,124332.5
Lamborghini,5603.0,690.5,330.0,2.8,Hybrid,5,720.0,124332.5
Lamborghini,5603.0,690.5,330.0,2.8,Petrol,5,720.0,124332.5
Lamborghini,5204.0,640.0,325.0,2.9,Petrol,5,600.0,124332.5
Lamborghini,5204.0,640.0,325.0,2.9,Petrol,5,600.0,124332.5
Lamborghini,5603.0,690.5,330.0,2.8,Petrol,5,690.0,124332.5
Lamborghini,3996.0,641.0,305.0,3.6,Petrol,5,850.0,124332.5
Lamborghini,5204.0,610.0,325.0,3.4,Petrol,5,600.0,124332.5
Lamborghini,5603.0,690.5,330.0,3.0,Petrol,5,690.0,124332.5
Lamborghini,5204.0,640.0,325.0,3.1,Petrol,5,600.0,124332.5
Lamborghini,5603.0,690.5,330.0,2.9,Petrol,5,690.0,124332.5
Lamborghini,5204.0,640.0,325.0,3.1,Petrol,5,600.0,124332.5
Lamborghini,3996.0,641.0,305.0,3.3,Petrol,5,850.0,124332.5
Lamborghini,5603.0,690.5,330.0,2.8,Petrol,5,720.0,124332.5
Lamborghini,5204.0,610.0,325.0,3.3,Petrol,5,560.0,124332.5
Lamborghini,5603.0,690.5,330.0,2.9,Petrol,5,720.0,124332.5
Lamborghini,3996.0,671.0,305.0,3.3,Petrol,5,850.0,124332.5
Lamborghini,5204.0,640.0,325.0,3.0,Petrol,5,565.0,124332.5
Lamborghini,5603.0,690.5,330.0,2.8,Petrol,5,720.0,124332.5
Lamborghini,5204.0,610.0,325.0,3.3,Petrol,5,600.0,124332.5
Lamborghini,5603.0,690.5,330.0,2.9,Petrol,5,720.0,124332.5
Lamborghini,3998.0,641.0,305.0,3.3,Petrol,5,850.0,124332.5
Lamborghini,5204.0,640.0,325.0,3.0,Petrol,5,565.0,124332.5
Lamborghini,5603.0,690.5,330.0,2.8,Petrol,5,720.0,124332.5
Rolls Royce,5603.0,591.0,250.0,4.8,Petrol,5,850.0,124332.5
Rolls Royce,5603.0,624.0,250.0,4.4,Petrol,5,870.0,124332.5
Rolls Royce,5603.0,624.0,250.0,4.9,Petrol,5,870.0,124332.5
Rolls Royce,5603.0,563.0,250.0,5.2,Petrol,5,850.0,124332.5
Rolls Royce,5603.0,563.0,250.0,5.3,Petrol,5,900.0,124332.5
Rolls Royce,5603.0,591.0,250.0,4.8,Petrol,5,850.0,124332.5
Rolls Royce,5603.0,624.0,250.0,4.3,Petrol,5,870.0,124332.5
Rolls Royce,5603.0,624.0,250.0,4.8,Petrol,5,870.0,124332.5
Rolls Royce,5603.0,563.0,250.0,5.1,Petrol,5,850.0,124332.5
Rolls Royce,5603.0,563.0,250.0,5.3,Petrol,5,870.0,124332.5
Rolls Royce,5603.0,591.0,250.0,4.8,Petrol,5,850.0,124332.5
Rolls Royce,5603.0,624.0,250.0,4.4,Petrol,5,870.0,124332.5
Rolls Royce,5603.0,624.0,250.0,4.9,Petrol,5,870.0,124332.5
Rolls Royce,5603.0,563.0,250.0,5.2,Petrol,5,850.0,124332.5
Mercedes,3982.0,496.0,250.0,4.4,Petrol,5,700.0,116000.0
Mercedes,3982.0,603.0,250.0,3.4,Petrol,5,850.0,104000.0
Mercedes,1991.0,382.0,250.0,4.1,Petrol,5,500.0,53000.0
Mercedes,3982.0,603.0,250.0,4.2,Petrol,5,850.0,113000.0
Mercedes,2996.0,429.0,250.0,4.9,Petrol,5,700.0,109000.0
Mercedes,2996.0,362.0,250.0,5.2,Petrol,5,500.0,62000.0
Mercedes,2996.0,362.0,250.0,5.2,Petrol,5,500.0,70000.0
Mercedes,2996.0,429.0,250.0,4.5,Petrol,5,700.0,99000.0
Mercedes,2996.0,362.0,250.0,5.5,Petrol,5,500.0,63000.0
Mercedes,1991.0,416.0,250.0,3.9,Petrol,5,500.0,53000.0
Mercedes,2996.0,402.0,250.0,4.7,Petrol,5,520.0,52000.0
Mercedes,1991.0,255.0,250.0,5.7,Petrol,5,500.0,49000.0
Mercedes,1991.0,255.0,250.0,6.1,Petrol,5,500.0,53000.0
Mercedes,2996.0,402.0,250.0,4.7,Petrol,5,520.0,54000.0
Mercedes,1991.0,382.0,250.0,4.3,Petrol,5,500.0,48000.0
Mercedes,1991.0,255.0,250.0,6.1,Petrol,5,500.0,46000.0
Mercedes,2996.0,429.0,250.0,5.2,Petrol,5,620.0,71000.0
Mercedes,1991.0,255.0,250.0,6.5,Petrol,5,500.0,90000.0
Mercedes,2813.6,690.5,250.0,3.4,Electric,5,930.0,102000.0
Mercedes,5603.0,630.0,250.0,4.7,Petrol,5,930.0,124332.5
BMW,4395.0,627.0,305.0,3.0,Petrol,5,750.0,124332.5
BMW,2993.0,493.0,305.0,3.7,Petrol,5,600.0,124332.5
BMW,2993.0,503.0,285.0,3.5,Petrol,5,650.0,76000.0
BMW,2993.0,444.0,280.0,4.0,Petrol,5,550.0,83000.0
BMW,4935.0,523.0,285.0,4.1,Petrol,5,750.0,114000.0
BMW,2993.0,503.0,285.0,4.1,Petrol,5,650.0,69000.0
BMW,4395.0,523.0,305.0,3.3,Petrol,5,750.0,124332.5
BMW,4935.0,523.0,285.0,3.7,Petrol,5,750.0,108000.0
Rolls Royce,5603.0,563.0,250.0,4.8,Petrol,5,840.0,124332.5
Rolls Royce,5603.0,563.0,250.0,5.1,Petrol,5,850.0,124332.5
Rolls Royce,5603.0,563.0,250.0,5.3,Petrol,5,900.0,124332.5
Rolls Royce,5603.0,563.0,250.0,4.9,Petrol,5,900.0,124332.5
Rolls Royce,5603.0,623.0,250.0,4.5,Petrol,5,800.0,124332.5
Rolls Royce,5603.0,563.0,250.0,5.3,Petrol,5,900.0,124332.5
Rolls Royce,5603.0,563.0,250.0,4.9,Petrol,5,900.0,124332.5
Rolls Royce,5603.0,623.0,250.0,4.5,Petrol,5,800.0,124332.5
Rolls Royce,5603.0,563.0,250.0,4.8,Petrol,5,840.0,124332.5
Rolls Royce,5603.0,563.0,250.0,5.1,Petrol,5,850.0,124332.5
Rolls Royce,5603.0,563.0,250.0,5.3,Petrol,5,900.0,124332.5
Rolls Royce,5603.0,563.0,250.0,4.9,Petrol,5,900.0,124332.5
Rolls Royce,5603.0,623.0,250.0,4.5,Petrol,5,800.0,124332.5
Rolls Royce,5603.0,563.0,250.0,4.8,Petrol,5,840.0,124332.5
Rolls Royce,5603.0,563.0,250.0,5.1,Petrol,5,850.0,124332.5
Audi,5204.0,610.0,330.0,3.2,Petrol,5,560.0,124332.5
Audi,3993.0,591.0,305.0,3.6,Petrol,5,800.0,114000.0
Audi,3993.0,563.0,305.0,4.3,Petrol,5,800.0,101000.0
Audi,3993.0,591.0,305.0,3.6,Petrol,5,800.0,109000.0
Audi,3993.0,563.0,305.0,4.3,Petrol,5,650.0,96000.0
Audi,2995.0,335.0,250.0,5.7,Petrol,5,600.0,86000.0
Audi,2995.0,349.0,250.0,4.8,Petrol,5,500.0,64000.0
Audi,2995.0,349.0,250.0,5.4,Petrol,5,500.0,62000.0
Audi,2995.0,349.0,250.0,4.7,Petrol,5,500.0,59000.0
Audi,1984.0,306.0,250.0,4.8,Petrol,5,400.0,52000.0
Audi,2995.0,335.0,250.0,6.3,Petrol,5,600.0,60000.0
Audi,1984.0,248.0,240.0,6.3,Petrol,5,500.0,43000.0
Audi,2995.0,335.0,250.0,5.7,Petrol,5,600.0,68000.0
Audi,2995.0,335.0,250.0,5.7,Petrol,5,600.0,58000.0
Audi,1984.0,248.0,240.0,6.3,Petrol,5,500.0,45000.0
Audi,1984.0,248.0,240.0,6.5,Petrol,5,400.0,39000.0
Audi,1984.0,248.0,230.0,7.3,Petrol,5,400.0,35000.0
Audi,2813.6,402.0,200.0,5.5,Electric,5,664.0,75000.0
Audi,2813.6,402.0,200.0,5.5,Electric,5,664.0,78000.0
Audi,1984.0,248.0,250.0,5.3,Petrol,5,400.0,49000.0
BMW,2813.6,369.0,250.0,4.4,Hybrid,5,570.0,124332.5
BMW,1998.0,255.0,250.0,5.6,Petrol,5,400.0,45000.0
BMW,2998.0,382.0,250.0,4.1,Petrol,5,500.0,57000.0
BMW,1998.0,255.0,250.0,5.8,Petrol,5,400.0,48000.0
BMW,2993.0,503.0,290.0,3.8,Petrol,5,650.0,81000.0
BMW,1998.0,248.0,250.0,5.9,Petrol,5,400.0,57000.0
BMW,4395.0,523.0,250.0,3.6,Petrol,5,650.0,78000.0
BMW,1499.0,136.0,213.0,8.5,Petrol,5,220.0,32000.0
BMW,1998.0,261.0,250.0,6.1,Petrol,5,400.0,42000.0
BMW,1998.0,302.0,250.0,4.8,Petrol,5,450.0,30000.0
BMW,1496.0,116.0,200.0,10.3,Diesel,5,280.0,30000.0
BMW,1995.0,190.0,230.0,6.9,Diesel,5,400.0,38000.0
BMW,1499.0,109.0,200.0,10.9,Petrol,5,200.0,28000.0
BMW,1995.0,150.0,216.0,8.4,Diesel,5,380.0,34000.0
BMW,1998.0,178.0,230.0,7.1,Petrol,5,300.0,37000.0
BMW,1998.0,224.0,240.0,6.1,Petrol,5,400.0,42000.0
BMW,1496.0,95.0,185.0,12.2,Diesel,5,270.0,27000.0
BMW,1598.0,102.0,195.0,11.2,Petrol,5,200.0,26000.0
BMW,1995.0,224.0,240.0,6.3,Diesel,5,400.0,44000.0
BMW,1499.0,136.0,211.0,8.9,Petrol,5,250.0,34000.0
BMW,1496.0,116.0,200.0,10.9,Diesel,5,270.0,30000.0
BMW,1499.0,136.0,213.0,8.5,Petrol,5,250.0,35000.0
BMW,1499.0,136.0,213.0,8.5,Petrol,5,250.0,37000.0
BMW,1998.0,178.0,230.0,7.1,Petrol,5,300.0,39000.0
BMW,1598.0,109.0,195.0,10.9,Petrol,5,200.0,29000.0
BMW,1496.0,116.0,200.0,10.5,Diesel,5,270.0,31000.0
BMW,1995.0,163.0,225.0,7.7,Diesel,5,400.0,39000.0
BMW,1499.0,136.0,213.0,8.5,Petrol,5,250.0,36000.0
BMW,1995.0,150.0,216.0,8.4,Diesel,5,380.0,36000.0
BMW,1998.0,178.0,230.0,7.2,Petrol,5,300.0,40000.0
BMW,1496.0,95.0,185.0,12.2,Diesel,5,270.0,28000.0
BMW,1499.0,136.0,213.0,8.5,Petrol,5,250.0,35000.0
Volvo,1969.0,247.0,200.0,6.5,Petrol,5,400.0,60000.0
Volvo,1969.0,247.0,200.0,6.5,Diesel,5,400.0,60000.0
Volvo,1969.0,247.0,220.0,6.4,Petrol,5,400.0,55000.0
Volvo,1969.0,247.0,220.0,6.4,Diesel,5,400.0,55000.0
Volvo,1969.0,295.0,250.0,5.9,Petrol,5,400.0,60000.0
Volvo,1969.0,295.0,250.0,5.9,Diesel,5,400.0,60000.0
KIA,2480.0,187.0,200.0,8.0,Petrol,5,250.0,27000.0
KIA,2480.0,187.0,200.0,8.0,Petrol,5,250.0,30000.0
KIA,2480.0,187.0,200.0,8.0,Petrol,5,350.0,32000.0
KIA,1998.0,240.0,210.0,6.7,Petrol,5,400.0,36000.0
KIA,2480.0,187.0,200.0,8.0,Petrol,5,350.0,33000.0
Honda,1996.0,315.0,272.0,5.7,Petrol,5,400.0,44000.0
KIA,1600.0,261.0,180.0,8.0,Plug-in Hybrid,5,350.0,41000.0
KIA,2813.6,261.0,180.0,8.0,Plug-in Hybrid,5,350.0,41000.0
KIA,2480.0,187.0,200.0,8.0,Petrol,5,250.0,26000.0
KIA,1998.0,240.0,210.0,6.7,Petrol,5,400.0,38000.0
KIA,2480.0,187.0,200.0,8.3,Petrol,5,250.0,29000.0
KIA,2480.0,187.0,200.0,8.3,,5,250.0,29000.0
KIA,2480.0,187.0,200.0,8.0,Petrol,5,350.0,32500.0
KIA,2480.0,187.0,200.0,8.2,Petrol,5,250.0,28000.0
Honda,1498.0,192.0,201.0,7.1,Petrol,5,370.0,29400.0
KIA,1600.0,227.0,180.0,8.0,Hybrid,5,350.0,37000.0
KIA,2813.6,227.0,180.0,8.0,Hybrid,5,350.0,37000.0
KIA,1598.0,261.0,180.0,7.9,Plug-in Hybrid,5,350.0,42000.0
KIA,2813.6,261.0,180.0,7.9,Plug-in Hybrid,5,350.0,42000.0
KIA,2480.0,187.0,200.0,8.1,Petrol,5,400.0,36000.0
KIA,2480.0,187.0,200.0,8.1,Petrol,5,400.0,38000.0
KIA,1998.0,240.0,210.0,6.5,Petrol,5,400.0,40000.0
KIA,1998.0,240.0,210.0,6.5,,5,400.0,40000.0
KIA,2480.0,187.0,200.0,8.5,Petrol,5,250.0,26500.0
Honda,1498.0,190.0,186.0,8.2,Petrol,5,400.0,30000.0
Honda,1498.0,190.0,186.0,8.2,Hybrid,5,400.0,30000.0
Honda,3471.0,285.0,209.0,6.3,Petrol,5,360.0,40000.0
Honda,1498.0,180.0,220.0,6.8,Petrol,5,300.0,26350.0
Toyota,3500.0,301.0,220.0,6.0,Petrol,5,250.0,27000.0
Toyota,3500.0,301.0,220.0,6.0,Hybrid,5,250.0,27000.0
Toyota,1798.0,139.0,180.0,9.4,Petrol,5,200.0,22500.0
Toyota,1798.0,139.0,180.0,9.4,Hybrid,5,200.0,22500.0
Toyota,1798.0,121.0,180.0,10.5,Hybrid,5,142.0,26700.0
Toyota,2494.0,203.0,200.0,8.1,Petrol,5,400.0,27100.0
Toyota,2494.0,203.0,200.0,8.1,Hybrid,5,400.0,27100.0
Toyota,3456.0,295.0,220.0,7.2,Petrol,5,370.0,38400.0
Toyota,3456.0,295.0,220.0,7.2,Hybrid,5,370.0,38400.0
Toyota,3956.0,270.0,200.0,7.5,Petrol,5,400.0,37400.0
Toyota,2694.0,159.0,180.0,9.5,Petrol,5,400.0,26400.0
Toyota,5603.0,381.0,220.0,6.7,Petrol,5,650.0,39900.0
Toyota,3456.0,301.0,220.0,6.9,Petrol,5,400.0,41400.0
Toyota,1798.0,151.0,180.0,9.2,Hydrogen,5,335.0,52400.0
Toyota,2494.0,245.0,190.0,8.0,Petrol,5,360.0,44150.0
Toyota,2494.0,245.0,190.0,8.0,Hybrid,5,360.0,44150.0
Toyota,2494.0,219.0,200.0,7.5,Hybrid,5,400.0,33400.0
Toyota,3456.0,240.0,220.0,8.2,Hybrid,5,350.0,40400.0
Toyota,3956.0,282.0,200.0,7.2,Petrol,5,450.0,49400.0
Toyota,3956.0,282.0,200.0,7.2,Diesel,5,450.0,49400.0
Toyota,3456.0,344.0,220.0,6.2,Hybrid,5,650.0,43400.0
Toyota,1496.0,106.0,180.0,11.2,Petrol,5,150.0,18400.0
Toyota,1986.0,144.0,200.0,10.2,Petrol,5,250.0,24400.0
Toyota,1986.0,144.0,200.0,10.2,Hybrid,5,250.0,24400.0
Toyota,2813.6,218.0,200.0,7.5,Electric,5,330.0,43400.0
Toyota,2494.0,236.0,200.0,7.6,Hybrid,5,400.0,38400.0
Toyota,1986.0,168.0,200.0,6.9,Petrol,5,400.0,29000.0
Toyota,1986.0,140.0,200.0,8.5,Petrol,5,250.0,25000.0
Honda,1497.0,119.0,180.0,10.2,Petrol,5,145.0,15400.0
Honda,1497.0,119.0,180.0,10.2,Hybrid,5,145.0,15400.0
Honda,1996.0,158.0,200.0,8.5,Petrol,5,400.0,20400.0
Hyundai,1197.0,87.0,160.0,12.2,Petrol,5,120.0,12400.0
Hyundai,1396.0,99.0,180.0,10.5,Petrol,5,250.0,15400.0
Hyundai,1396.0,99.0,180.0,10.5,Hybrid,5,250.0,15400.0
Hyundai,1999.0,147.0,200.0,9.5,Petrol,5,250.0,18400.0
Hyundai,1999.0,147.0,200.0,9.5,Hybrid,5,250.0,18400.0
Mahindra,2179.0,155.0,180.0,10.5,Diesel,5,400.0,18400.0
Mahindra,2179.0,140.0,160.0,11.2,Diesel,5,280.0,16400.0
Mahindra,1997.0,150.0,180.0,10.5,Petrol,5,320.0,20400.0
Mahindra,1997.0,150.0,180.0,10.5,Diesel,5,320.0,20400.0
Maruti Suzuki,1197.0,83.0,160.0,12.2,Petrol,5,113.0,10400.0
Maruti Suzuki,1197.0,83.0,160.0,12.2,Petrol,5,113.0,11400.0
Maruti Suzuki,1197.0,83.0,160.0,12.2,Diesel,5,113.0,11400.0
Maruti Suzuki,1462.0,103.0,180.0,11.5,Petrol,5,200.0,14400.0
Toyota,1998.0,220.0,180.0,6.7,Plug-in Hybrid,5,220.0,31100.0
Toyota,1618.0,300.0,230.0,5.0,Petrol,5,370.0,36995.0
Toyota,3346.0,305.0,210.0,6.8,Petrol,5,650.0,58500.0
Toyota,3346.0,305.0,210.0,6.8,Diesel,5,650.0,58500.0
Toyota,3445.0,437.0,180.0,6.2,Hybrid,5,750.0,56000.0
Toyota,1987.0,169.0,190.0,8.2,Petrol,5,250.0,25390.0
Toyota,2813.6,152.0,180.0,9.0,Hydrogen,5,335.0,49500.0
Toyota,2755.0,224.0,170.0,10.0,Petrol,5,500.0,50000.0
Toyota,2755.0,224.0,170.0,10.0,Diesel,5,500.0,50000.0
Toyota,2494.0,296.0,180.0,8.5,Petrol,5,400.0,60000.0
Toyota,2755.0,204.0,175.0,10.5,Diesel,5,500.0,55000.0
Toyota,2755.0,204.0,175.0,10.5,Petrol,5,500.0,55000.0
Toyota,1987.0,184.0,165.0,9.5,Hybrid,5,250.0,40000.0
Toyota,4009.0,134.0,120.0,7.9,Diesel,5,500.0,70000.0
Toyota,1490.0,114.0,170.0,11.0,Petrol,5,130.0,25000.0
Toyota,998.0,71.0,160.0,14.8,Petrol,5,93.0,18000.0
Toyota,2755.0,204.0,175.0,10.0,Diesel,5,500.0,50000.0
Toyota,2813.6,136.0,130.0,13.5,Electric,5,280.0,55000.0
Toyota,3456.0,406.0,200.0,6.0,Petrol,5,500.0,124332.5
Toyota,1798.0,134.0,180.0,10.0,Hybrid,5,300.0,24000.0
Toyota,2813.6,241.0,160.0,7.5,Electric,5,340.0,35000.0
Toyota,1618.0,268.0,230.0,5.5,Petrol,5,390.0,45000.0
Hyundai,1600.0,253.0,180.0,9.3,Petrol,5,420.0,50000.0
Hyundai,1600.0,253.0,180.0,9.3,Hybrid,5,420.0,50000.0
Hyundai,2813.6,225.0,185.0,7.4,Electric,5,350.0,41000.0
Hyundai,2500.0,281.0,215.0,6.5,Petrol,5,400.0,40799.0
Hyundai,1591.0,147.0,185.0,10.0,Petrol,5,400.0,20500.0
Hyundai,1591.0,147.0,185.0,10.0,Electric,5,400.0,20500.0
Hyundai,2000.0,147.0,210.0,8.3,Petrol,5,250.0,19950.0
Hyundai,2000.0,148.0,210.0,8.3,Hybrid,5,250.0,19950.0
Nissan,2000.0,690.5,140.0,14.0,Diesel,5,356.0,28000.0
Hyundai,2813.6,320.0,185.0,5.2,Electric,5,350.0,41450.0
Hyundai,2813.6,320.0,185.0,5.2,Electric,5,350.0,41450.0
Hyundai,2500.0,187.0,180.0,6.1,Petrol,5,400.0,30500.0
Hyundai,2500.0,187.0,180.0,6.1,Hybrid,5,400.0,30500.0
Hyundai,3800.0,291.0,240.0,6.3,Petrol,5,355.0,52000.0
Hyundai,2500.0,191.0,240.0,8.0,Petrol,5,250.0,25000.0
Hyundai,2500.0,191.0,240.0,8.0,Hybrid,5,250.0,25000.0
Hyundai,1600.0,120.0,180.0,9.8,Petrol,5,151.0,15000.0
Hyundai,1600.0,121.0,180.0,9.5,Petrol,5,240.0,18000.0
Hyundai,2813.6,200.0,200.0,6.1,Electric,5,395.0,40000.0
Hyundai,2000.0,275.0,220.0,6.0,Petrol,5,264.0,25000.0
Hyundai,2813.6,161.0,180.0,7.8,Hydrogen,5,400.0,38000.0
Hyundai,1600.0,139.0,160.0,8.5,Hybrid,5,295.0,18000.0
Hyundai,1600.0,139.0,160.0,8.5,Electric,5,295.0,18000.0
Hyundai,3800.0,291.0,240.0,6.3,Petrol,5,400.0,52000.0
Hyundai,3300.0,278.0,240.0,6.5,Petrol,5,250.0,55000.0
Hyundai,3300.0,278.0,240.0,6.5,Petrol,5,400.0,55000.0
Hyundai,2000.0,160.0,200.0,8.2,Petrol,5,320.0,19000.0
Hyundai,2000.0,160.0,200.0,8.3,Petrol,5,320.0,22000.0
Volkswagen,1498.0,215.0,210.0,8.5,Petrol,5,250.0,23000.0
Volkswagen,1498.0,215.0,210.0,8.5,Petrol,5,250.0,23000.0
Volkswagen,2813.6,215.0,210.0,8.5,Petrol,5,250.0,23000.0
Volkswagen,2813.6,215.0,210.0,8.5,Petrol,5,250.0,23000.0
Volkswagen,1984.0,215.0,210.0,7.8,Petrol,5,250.0,25000.0
Volkswagen,1984.0,190.0,209.0,8.5,Petrol,5,300.0,28505.0
Volkswagen,1984.0,190.0,209.0,8.5,Hybrid,5,300.0,28505.0
